RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0356 GB1000 BR0000   h0370  R141 G255 B000
RG0354 GB1000 BR0000   h0371  R140 G255 B000
RG0352 GB1000 BR0000   h0372  R139 G255 B000
RG0351 GB1000 BR0000   h0373  R138 G255 B000
RG0349 GB1000 BR0000   h0374  R137 G255 B000
RG0347 GB1000 BR0000   h0375  R136 G255 B000
RG0346 GB1000 BR0000   h0376  R135 G255 B000
RG0344 GB1000 BR0000   h0377  R134 G255 B000
RG0342 GB1000 BR0000   h0378  R133 G255 B000
RG0341 GB1000 BR0000   h0379  R132 G255 B000
RG0339 GB1000 BR0000   h0380  R131 G255 B000
RG0337 GB1000 BR0000   h0381  R130 G255 B000
RG0335 GB1000 BR0000   h0382  R129 G255 B000
RG0334 GB1000 BR0000   h0383  R128 G255 B000
RG0332 GB1000 BR0000   h0384  R127 G255 B000
RG0330 GB1000 BR0000   h0385  R126 G255 B000
RG0328 GB1000 BR0000   h0386  R125 G255 B000
RG0327 GB1000 BR0000   h0387  R124 G255 B000
RG0325 GB1000 BR0000   h0388  R123 G255 B000
RG0323 GB1000 BR0000   h0389  R122 G255 B000
RG0321 GB1000 BR0000   h0390  R121 G255 B000
RG0320 GB1000 BR0000   h0391  R120 G255 B000
RG0318 GB1000 BR0000   h0392  R119 G255 B000
RG0316 GB1000 BR0000   h0393  R118 G255 B000
RG0314 GB1000 BR0000   h0394  R117 G255 B000
RG0312 GB1000 BR0000   h0395  R116 G255 B000
RG0310 GB1000 BR0000   h0396  R115 G255 B000
RG0308 GB1000 BR0000   h0397  R114 G255 B000
RG0307 GB1000 BR0000   h0398  R113 G255 B000
RG0305 GB1000 BR0000   h0399  R112 G255 B000
RG0303 GB1000 BR0000   h0400  R111 G255 B000
RG0301 GB1000 BR0000   h0401  R110 G255 B000
RG0299 GB1000 BR0000   h0402  R109 G255 B000
RG0297 GB1000 BR0000   h0403  R108 G255 B000
RG0295 GB1000 BR0000   h0404  R107 G255 B000
RG0293 GB1000 BR0000   h0405  R106 G255 B000
RG0291 GB1000 BR0000   h0406  R105 G255 B000
RG0289 GB1000 BR0000   h0407  R104 G255 B000
RG0287 GB1000 BR0000   h0408  R103 G255 B000
RG0285 GB1000 BR0000   h0409  R102 G255 B000
RG0283 GB1000 BR0000   h0410  R101 G255 B000
RG0281 GB1000 BR0000   h0411  R100 G255 B000
RG0279 GB1000 BR0000   h0412  R099 G255 B000
RG0277 GB1000 BR0000   h0413  R098 G255 B000
RG0275 GB1000 BR0000   h0414  R097 G255 B000
RG0273 GB1000 BR0000   h0415  R096 G255 B000
RG0271 GB1000 BR0000   h0416  R095 G255 B000
RG0269 GB1000 BR0000   h0417  R094 G255 B000
RG0267 GB1000 BR0000   h0418  R093 G255 B000
RG0265 GB1000 BR0000   h0419  R092 G255 B000
RG0263 GB1000 BR0000   h0420  R091 G255 B000
RG0260 GB1000 BR0000   h0421  R090 G255 B000
RG0258 GB1000 BR0000   h0422  R089 G255 B000
RG0256 GB1000 BR0000   h0423  R088 G255 B000
RG0254 GB1000 BR0000   h0424  R087 G255 B000
RG0252 GB1000 BR0000   h0425  R086 G255 B000
RG0250 GB1000 BR0000   h0426  R085 G255 B000
RG0247 GB1000 BR0000   h0427  R084 G255 B000
RG0245 GB1000 BR0000   h0428  R083 G255 B000
RG0243 GB1000 BR0000   h0429  R082 G255 B000
RG0241 GB1000 BR0000   h0430  R081 G255 B000
RG0238 GB1000 BR0000   h0431  R080 G255 B000
RG0236 GB1000 BR0000   h0432  R079 G255 B000
RG0234 GB1000 BR0000   h0433  R078 G255 B000
RG0231 GB1000 BR0000   h0434  R077 G255 B000
RG0229 GB1000 BR0000   h0435  R076 G255 B000
RG0227 GB1000 BR0000   h0436  R075 G255 B000
RG0224 GB1000 BR0000   h0437  R074 G255 B000
RG0222 GB1000 BR0000   h0438  R073 G255 B000
RG0220 GB1000 BR0000   h0439  R072 G255 B000
RG0217 GB1000 BR0000   h0440  R071 G255 B000
